date,latitude,longitude,depth,mag,rms,horizontalError,depthError,magError
12/31/2022,-23.1036,-68.8969,96.224,5.1,1.05,4.87,3.429,0.052
12/30/2022,-14.9903,-75.7546,11.94,5.2,0.67,6.47,2.444,0.069
12/30/2022,-45.8405,-76.402,12.929,5.3,0.58,8.82,4.482,0.05
12/28/2022,-16.5184,-72.2839,70.719,5.3,0.63,8.66,3.97,0.058
12/25/2022,-26.5748,-115.4717,10,5,0.84,15.16,1.84,0.07
12/25/2022,-26.4266,-115.3527,10,5.4,0.48,13.8,1.8,0.039
12/24/2022,-24.0291,-66.9033,171.471,5,1.07,9.51,4.5,0.059
12/23/2022,-45.5705,-76.7349,10,5.2,0.58,7.1,1.726,0.052
12/22/2022,-7.9816,-74.4173,155.984,5.5,1.01,8.38,5.048,0.058
12/21/2022,19.4737,-108.6682,10,5.3,0.44,9.27,1.773,0.042
12/20/2022,17.7098,-60.9317,13.695,5.2,0.44,6.27,4.19,0.083
12/20/2022,40.525,-124.423,17.91,6.4,0.18,0.67,0.4,
12/20/2022,17.7762,-60.9512,12.443,5.2,0.38,5.47,3.968,0.073
12/20/2022,-35.4012,-104.6807,10,5.3,0.52,12.4,1.782,0.098
12/17/2022,53.9163,-35.2089,10,5,0.55,10.44,1.853,0.045
12/17/2022,1.4701,-79.3053,12.73,5.3,0.52,8.45,3.759,0.043
12/16/2022,32.19085693,-102.1406965,8.192342122,5.2,0.2,0.73437093,0.652905406,0.2
12/16/2022,-7.1218,-80.4903,10,5.2,0.41,9.58,1.846,0.098
12/15/2022,12.9133,-88.5073,63.363,5.6,0.77,6.54,4.016,0.037
12/12/2022,4.8488,-82.7665,10,5.5,0.92,7.72,1.842,0.066
12/11/2022,14.1437,-89.8707,189.564,5,0.74,8.4,4.056,0.054
12/11/2022,17.22,-100.5534,18,6,0.67,9.04,1.868,0.043
12/10/2022,-33.646,-72.079,21.67,5.4,0.64,4.12,3.556,0.055
12/10/2022,-23.0906,-68.1419,117,5.6,0.88,6.98,1.937,0.04
12/9/2022,-44.2287,-79.0512,10,5.1,0.6,7.96,1.895,0.061
12/8/2022,-15.7111,-72.2344,10,5,0.56,9.3,1.814,0.058
12/6/2022,-34.1177,-112.4366,10,5.5,0.53,9.64,1.776,0.098
12/5/2022,-26.6668,-114.0671,10,5.5,0.66,11,1.838,0.103
12/5/2022,-26.5226,-113.9352,10,5.1,0.45,12.02,1.811,0.112
12/4/2022,-27.9287,-66.6209,168.403,5,0.9,7.35,4.403,0.029
12/4/2022,53.9304,-35.5687,10,5.4,0.44,8.67,1.839,0.038
12/4/2022,53.8926,-35.6101,10,5,0.77,8.24,1.379,0.054
12/1/2022,7.5315,-82.3984,15.803,5.1,0.85,6.05,3.83,0.063
11/30/2022,-54.2592,-136.4989,10,5.2,0.63,12.52,1.793,0.098
11/30/2022,56.1593,-116.576,4,5.3,0.61,6.38,1.804,0.045
11/29/2022,53.9193,-35.1038,10,5.5,0.53,5.53,1.764,0.04
11/29/2022,53.8829,-35.0164,10,5,0.51,9.34,1.856,0.073
11/29/2022,53.8201,-35.1544,10,5.5,0.63,8.37,1.774,0.041
11/28/2022,37.0894,-32.4044,10,5.9,0.48,9.37,1.767,0.035
11/27/2022,-55.0757,-128.5306,10,5.5,0.64,13.05,1.86,0.098
11/27/2022,-24.8359,-112.1279,10,5.5,0.85,12.58,1.914,0.05
11/22/2022,30.7936,-116.3907,10,6.2,0.75,4.14,1.745,0.029
11/22/2022,34.8686,-34.7759,10,5.4,0.83,9.97,1.868,0.08
11/21/2022,43.4874,-127.3382,10,5.2,0.35,7.24,1.876,0.052
11/21/2022,52.2913,-168.1639,13.217,5.5,0.58,4.99,3.319,0.052
11/17/2022,19.037,-67.2915,4,5,0.33,1.13,1.06,0.07
11/17/2022,-1.9348,-78.0817,138.881,5,0.7,3.21,4.085,0.065
11/16/2022,31.6367452,-103.9987871,6.902807617,5.4,0.1,0.462810906,0.629622792,0.2
11/14/2022,53.9688,-35.4727,10,5.1,0.5,2.91,1.799,0.027
11/13/2022,-37.4652,-73.6757,18,6.2,0.89,6.67,1.743,0.069
11/13/2022,-37.553,-73.7598,22.155,5.7,0.79,5.36,4.292,0.068
11/12/2022,14.1024,-90.94,93.543,5.8,0.95,5.44,2.956,0.031
11/9/2022,-4.2315,-80.5466,54.125,5.1,0.61,7.59,5.163,0.066
11/8/2022,21.697,-76.4765,10,5,0.4,4.47,1.809,0.027
11/8/2022,-33.6656,-70.7391,89.713,5,0.7,4.78,1.331,0.048
11/6/2022,-17.5594,-70.2162,28.896,5,0.53,5.47,4.593,0.059
11/5/2022,-33.3848,-68.5697,36.322,5.1,0.38,6.67,2.768,0.056
11/5/2022,-35.5462,-73.6859,21.092,5,0.59,6.63,4.128,0.056
11/4/2022,-20.1565,-70.7006,19.374,5,0.75,4.78,4.211,0.093
11/4/2022,28.1573,-112.3106,10,6.1,0.38,5.62,1.847,0.039
11/4/2022,13.1449,-89.5573,43,5.7,1.3,6.4,1.932,0.035
11/3/2022,53.791,-35.4874,10,5.4,0.79,9,1.749,0.037
11/2/2022,31.5042,-133.351,10,6,0.65,6.68,1.428,0.038
11/2/2022,-22.3149,-68.8742,113.483,5.3,0.79,2.41,4.579,0.047
11/1/2022,12.4505,-89.1116,10,5,0.65,4.82,1.748,0.03
10/31/2022,-14.223,-76.0005,33.662,5,0.63,9.65,2.412,0.073
10/31/2022,-2.4103,-76.2393,149.348,5.6,0.57,9.16,6.247,0.035
10/31/2022,-39.2143,-92.4382,10,5.8,0.44,13.15,1.944,0.053
10/29/2022,-14.3867,-76.1584,26.376,5.1,0.66,9.91,4.244,0.053
10/29/2022,-19.0172,-66.9241,263.481,5.1,0.61,6.24,5.851,0.066
10/29/2022,-14.5133,-76.2261,15,5.8,0.57,5.17,1.747,0.049
